"NO","ROI_ID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_vPC"
41686,"ROI487","Dc1.2","29",302037.79,6.591,121.73,20,20,"vPC1372"
41689,"ROI442","Dd6.3","68",301939.51,6.525,107.25,20,20,"vPC1763"
41692,"ROI436","Do1.2","51",301897.21,1.252,27.58,20,20,"vPC1262"
41696,"ROI120","Dd1.2","34",301855.53,6.733,104.05,20,20,"vPC1620"
41699,"ROI450","Dd5.3","67",301836.91,4.186,87.92,20,20,"vPC1860"
41700,"ROI55","Do7.2","57",301804.97,3.528,63.68,17.7,5,"vPC871"
41701,"ROI385","Df3.2","43",301786.94,4.069,66.3,20,20,"vPC1079"
41702,"ROI3","Do3.2","53",301784.58,0.973,12.085,20,20,"vPC690"
41704,"ROI181","Dd7.3","69",301750.33,4.235,104.39,20,20,"vPC204"
41705,"ROI434","Do2.1","23",301716.83,0.996,23,20,20,"vPC446"
41706,"ROI310","Dc2.2","30",301716.08,4.851,102.79,20,20,"vPC259"
41707,"ROI391","Dc2.3","59",301701.91,3.899,69.88,20,20,"vPC844"
41708,"ROI135","Do7.2","57",301699.91,1.008,22.43,20,20,"vPC544"
41709,"ROI439","Dd1.1","5",301690.33,3.973,64.53,8.3,20,"vPC845"
41713,"ROI109","Dc2.1","1",301612.5,5.09,95.64,5,20,"vPC614"
41717,"ROI265","Dd1.2","34",301534.21,5.268,70.47,17.6,20,"vPC834"
41720,"ROI265","Dn3.3","76",301490.46,5.265,70.45,19.5,20,"vPC834"
41727,"ROI431","Dd6.2","39",301363.41,1.031,34.9,20,10.5,"vPC1127"
41728,"ROI81","Dn5.1","20",301348.96,3.376,74.72,11.2,20,"vPC1352"
41729,"ROI452","Dc5.2","33",301328.5,3.93,68.52,20,20,"vPC803"
41730,"ROI84","Dc2.3","59",301304.5,3.513,72.17,20,5,"vPC366"
41737,"ROI120","Dd5.2","38",301177.28,6.76,105.61,20,20,"vPC1556"
41741,"ROI109","Dd1.2","34",301116.05,5.091,95.62,5,20,"vPC614"
41742,"ROI88","Dn1.3","74",301094.58,3.532,76.51,20,20,"vPC506"
41745,"ROI453","Do1.3","80",301062.06,3.692,71.65,20,20,"vPC1530"
41747,"ROI99","Df3.3","72",301049.48,4.034,77.31,5,20,"vPC674"
41748,"ROI57","Dn1.2","45",301011.31,3.425,65.13,20,20,"vPC695"
41749,"ROI453","Do7.2","57",300997.23,3.695,70.95,20,20,"vPC747"
41750,"ROI337","Do7.1","28",300961.75,1.984,12.116,20,20,"vPC1632"
41752,"ROI117","Dd7.3","69",300921.41,4.907,100.29,8,20,"vPC1408"
41754,"ROI60","Df3.3","72",300869.71,4.151,63.24,20,5,"vPC469"
41755,"ROI121","Dn1.3","74",300844.43,6.649,104.38,20,20,"vPC767"
41756,"ROI462","Dd7.3","69",300843.91,4.396,102.26,20,20,"vPC1557"
41761,"ROI365","Do7.1","28",300807.76,2.196,36.37,20,20,"vPC839"
41763,"ROI246","Dd5.3","67",300756.55,3.742,67.96,20,20,"vPC1345"
41765,"ROI457","Df2.1","13",300727.15,1.973,24.96,20,15.1,"vPC1380"
41766,"ROI509","Do4.1","25",300717.59,6.526,131.27,20,20,"vPC984"
41767,"ROI330","Dd4.1","8",300714.92,0.862,21.43,18.8,20,"vPC588"
41773,"ROI120","Do1.1","22",300543.23,6.719,104.31,20,20,"vPC1620"
41779,"ROI60","Df4.1","15",300453.54,4.149,63.27,20,5,"vPC469"
41780,"ROI197","Dc4.2","32",300439.77,2.194,42.81,20,20,"vPC1708"
41781,"ROI391","Dd5.3","67",300435.85,3.911,69.85,10.7,20,"vPC844"
41783,"ROI265","Do6.1","27",300385.59,5.268,70.48,16.2,20,"vPC834"
41788,"ROI83","Do4.3","83",300315.29,3.463,74.77,5,20,"vPC664"
41790,"ROI20","Df1.1","12",300282.57,1.595,26.47,20,20,"vPC1053"
41792,"ROI61","Df4.1","15",300265.26,4.228,63.89,10.5,20,"vPC490"
41797,"ROI246","Dd2.2","35",300132.5,3.739,67.95,20,20,"vPC1345"
41801,"ROI431","Df4.3","73",300074.73,1.009,34.89,20,20,"vPC1127"
41802,"ROI197","Dd6.3","68",300067.06,2.224,42.81,20,11,"vPC920"
41806,"ROI5","Dc1.2","29",299979.37,0.967,14.591,9.5,6.4,"vPC423"
41807,"ROI444","Do7.3","86",299967.02,5.378,132.57,20,20,"vPC985"
41810,"ROI58","Dn5.3","78",299943.1,4.021,65.06,20,20,"vPC322"
41811,"ROI124","Dc5.1","4",299932.95,7.031,110.99,20,20,"vPC1057"
41812,"ROI506","Dn4.2","48",299925.71,4.047,73.29,20,20,"vPC800"
41813,"ROI385","Dd3.3","65",299875.38,4.067,66.29,20,20,"vPC1079"
41814,"ROI70","Dc3.1","2",299862.71,3.912,70.91,20,20,"vPC459"
41816,"ROI173","Dc2.2","30",299835.87,3.975,73.81,20,20,"vPC533"
41821,"ROI181","Dd7.1","11",299791.44,4.234,104.37,20,20,"vPC204"
41822,"ROI105","Dn3.1","18",299764.85,4.008,84.03,20,20,"vPC234"
41823,"ROI77","Df2.1","13",299764.48,3.745,73.66,20,20,"vPC477"
41825,"ROI319","Do6.1","27",299759.88,2.295,30.59,20,20,"vPC383"
41827,"ROI407","Df4.3","73",299725.79,6.639,113.37,20,20,"vPC1252"
41831,"ROI120","Do7.3","86",299614.73,6.72,104.34,20,20,"vPC1620"
41833,"ROI19","Dn6.2","50",299602.94,1.288,23.55,11.8,20,"vPC413"
41834,"ROI16","Dn6.1","21",299575.59,1.175,20.08,20,20,"vPC1302"
41836,"ROI111","Dn2.2","46",299519.04,4.872,100.43,16.1,20,"vPC860"
41839,"ROI277","Do5.1","26",299450.66,1.821,38.35,12.7,20,"vPC307"
41848,"ROI123","Df4.3","73",299252.14,6.985,108.09,10,20,"vPC1326"
41850,"ROI260","Dn1.2","45",299211.29,1.455,32.92,20,20,"vPC526"
41851,"ROI462","Df1.1","12",299183.3,4.396,102.29,20,20,"vPC1557"
41852,"ROI277","Do1.2","51",299158.7,1.832,38.31,12.6,20,"vPC307"
41853,"ROI407","Dc4.3","61",299157.94,6.642,113.37,20,20,"vPC1252"
41862,"ROI377","Dc3.2","31",298997.87,3.511,77.45,11.2,20,"vPC223"
41865,"ROI453","Df4.2","44",298945.79,3.701,70.99,20,20,"vPC747"
41866,"ROI83","Do2.2","52",298930.67,3.549,74.65,20,20,"vPC576"
41869,"ROI376","Df3.1","14",298899.39,3.792,64.64,20,5,"vPC707"
41871,"ROI416","Do7.3","86",298885.62,5.351,122.59,12.8,20,"vPC142"
41874,"ROI450","Do1.1","22",298862.34,4.174,87.98,11,20,"vPC1860"
41876,"ROI57","Df3.1","14",298842.47,3.429,65.18,20,20,"vPC695"
41880,"ROI39","Df4.1","15",298741.43,3.692,55.44,10.8,20,"vPC522"
41881,"ROI49","Do1.2","51",298739.2,3.757,64.4,12.8,20,"vPC703"
41882,"ROI120","Do1.2","51",298710.67,6.706,105.3,20,20,"vPC887"
41883,"ROI457","Dd3.2","36",298695.78,1.972,24.94,20,20,"vPC1380"
41884,"ROI151","Dn3.3","76",298659.87,2.056,29.82,20,20,"vPC957"
41885,"ROI450","Dd5.1","9",298622.69,4.186,87.92,20,20,"vPC1860"
41886,"ROI337","Do5.2","55",298575.98,1.988,12.129,20,20,"vPC1632"
41887,"ROI11","Dc4.2","32",298553.37,1.054,18.19,20,20,"vPC528"
41888,"ROI58","Df2.1","13",579869.21,4.026,65.09,20,5,"vPC322"
41891,"ROI431","Df4.2","44",298462.95,1.011,34.89,20,20,"vPC1127"
41894,"ROI91","Do1.3","80",298423.34,3.402,77.97,20,20,"vPC442"
41895,"ROI431","Dd1.1","5",298389.12,1.025,34.89,20,15.4,"vPC1127"
41898,"ROI201","Do1.3","80",298376.07,4.004,61.33,9.4,20,"vPC529"
41905,"ROI226","Dd5.3","67",298236.87,1.164,29.06,20,20,"vPC482"
41906,"ROI408","Dd3.3","65",298191.49,6.659,113.17,20,20,"vPC2007"
41907,"ROI452","Dc2.1","1",298180.55,3.938,68.73,20,20,"vPC803"
41909,"ROI291","Do7.2","57",298154.8,4.022,71.56,20,20,"vPC1541"
41910,"ROI84","Df3.1","14",298143.93,3.538,72.19,20,20,"vPC644"
41911,"ROI194","Dn4.2","48",298121.69,2.761,39.22,20,20,"vPC443"
41912,"ROI84","Dc1.3","58",298102.61,3.519,72.21,20,5,"vPC366"
41917,"ROI70","Do7.1","28",297996.3,3.909,70.89,5,20,"vPC459"
41922,"ROI109","Dc2.3","59",297967.3,5.089,95.64,5,20,"vPC614"
41927,"ROI39","Do5.3","84",297892.57,3.861,57.1,5,5,"vPC401"
41931,"ROI56","Dn3.2","47",297814.79,3.469,64.24,20,20,"vPC755"
41935,"ROI194","Dn4.1","19",297755.09,2.762,39.23,20,20,"vPC443"
41936,"ROI11","Dc4.3","61",297743.3,1.054,18.2,20,20,"vPC528"
41937,"ROI58","Df1.3","70",297724.67,4.002,65.04,20,5,"vPC269"
41938,"ROI376","Dc1.1","0",297719.12,3.813,64.87,20,5,"vPC118"
41946,"ROI279","Dd6.3","68",297655.33,1.08,38.23,20,20,"vPC886"
41948,"ROI39","Dn5.3","78",297643.96,3.74,56.89,17.2,20,"vPC281"
41953,"ROI279","Do2.1","23",297519.58,1.067,38.29,20,20,"vPC505"
41959,"ROI365","Dd7.3","69",297413.54,2.195,36.38,20,20,"vPC839"
41963,"ROI77","Dn6.2","50",297354.07,3.704,73.55,14.8,20,"vPC1088"
41964,"ROI503","Dd6.1","10",297351.59,4.716,87.3,20,20,"vPC1968"
41966,"ROI497","Do6.1","27",297303.67,3.132,55.39,20,20,"vPC1870"
41967,"ROI188","Df1.2","41",297286.71,2.175,32.24,14.7,20,"vPC174"
41969,"ROI61","Do1.2","51",297260.08,4.188,63.53,5,5,"vPC468"
41971,"ROI432","Dd3.2","36",297216.73,1.116,19.45,13.9,20,"vPC579"
41976,"ROI365","Dd1.2","34",297169.12,2.195,36.36,20,20,"vPC839"
41977,"ROI22","Dd7.2","40",297144.88,1.978,21.37,6.7,20,"vPC1286"
41978,"ROI52","Df4.3","73",297127.08,3.558,64.92,5,5,"vPC552"
41980,"ROI235","Dd7.2","40",297110.7,1.781,41.46,20,20,"vPC1485"
41982,"ROI515","Df1.2","41",297081.06,6.953,111.95,20,20,"vPC1023"
41983,"ROI19","Dn6.1","21",297073.36,1.288,23.55,12,20,"vPC413"
41987,"ROI94","Dd1.1","5",297056.48,3.195,77.88,13.8,20,"vPC1064"
41989,"ROI319","Do6.2","56",297031.34,2.29,30.54,20,20,"vPC383"
41992,"ROI61","Do2.3","81",297017.83,4.207,63.69,5,20,"vPC272"
41994,"ROI439","Dd7.1","11",297014.66,3.974,64.51,9.1,20,"vPC845"
41998,"ROI364","Dd4.2","37",296974.3,0.938,47.02,20,5,"vPC1031"
42001,"ROI462","Do3.2","53",296946.33,4.393,102.29,19.3,20,"vPC1557"
42004,"ROI317","Do1.2","51",296932.49,2.102,26.4,9.7,20,"vPC740"
42010,"ROI39","Dc2.3","59",296879.91,3.689,55.47,8.2,20,"vPC522"
42011,"ROI383","Do2.2","52",296876.82,3.661,61.21,20,20,"vPC456"
42013,"ROI344","Dn3.3","76",296734.99,2.045,11.925,14,20,"vPC1487"
42015,"ROI94","Dc1.3","58",296682.38,3.194,77.82,16.3,20,"vPC1064"
42019,"ROI55","Dc3.1","2",296565.05,3.458,63.7,20,20,"vPC1240"
42020,"ROI131","Dd3.3","65",296524.26,5.311,128.91,20,20,"vPC293"
42021,"ROI376","Do7.2","57",296516.37,3.805,64.78,20,5,"vPC118"
