,vPC_num,H_data,C_data
172,vPC233,3.167602138,74.88488112
173,vPC234,4.015978168,84.00235717
174,vPC236,1.502886611,21.88190119
175,vPC238,5.199847199,102.130853
176,vPC239,2.441830727,39.20118686
177,vPC240,4.1282795,69.67751388
178,vPC241,3.72366605,75.84992375
179,vPC244,3.664263297,74.67000166
180,vPC245,0.833550308,19.2847314
181,vPC246,5.255891325,71.61900508
182,vPC247,1.619398368,25.8077166
183,vPC248,1.06612734,22.07825296
184,vPC249,0.963282192,15.53894928
185,vPC250,3.75172362,74.34191166
186,vPC251,0.929656484,19.15046542
187,vPC252,3.723315588,56.47220507
188,vPC254,3.890250745,56.65750495
189,vPC256,3.322243249,76.36899026
190,vPC258,3.96585487,83.00088947
191,vPC259,4.850145678,102.7341959
192,vPC261,3.525851664,81.17889425
193,vPC262,3.352655569,71.1736696
194,vPC263,3.664152713,61.82595197
195,vPC265,1.933910441,32.8101856
196,vPC266,4.523397219,100.0700579
197,vPC267,3.381654163,75.88739202
198,vPC268,5.36645426,130.7619778
199,vPC269,3.999355621,64.91360935
200,vPC271,2.206423877,31.83118926
201,vPC272,4.204545638,63.6821498
202,vPC273,3.248807792,77.70779078
203,vPC274,2.17617474,31.84294283
204,vPC275,2.794426708,41.47135752
205,vPC276,2.729978621,31.84155161
206,vPC277,2.282122337,39.20126599
207,vPC278,1.848352794,38.33482577
208,vPC279,1.579964641,25.91111963
209,vPC280,1.462814721,29.22832333
210,vPC281,3.740742224,56.65451497
211,vPC283,3.575999224,64.91977671
212,vPC285,2.864734372,45.65826636
213,vPC288,1.472658648,21.80273302
214,vPC289,1.911514011,26.31449883
215,vPC292,1.470890785,17.14343311
216,vPC293,5.308406202,128.9036776
217,vPC294,6.787501997,112.6088712
218,vPC295,3.242374107,74.94036367
219,vPC296,4.285259702,60.36793577
220,vPC297,2.700554355,31.841023
221,vPC300,4.445460513,63.7574392
222,vPC301,2.459874911,47.24867409
223,vPC302,3.477701131,77.77004797
224,vPC305,1.432374034,29.52640598
225,vPC306,4.374320374,74.15224259
226,vPC307,1.829339751,38.33256893
227,vPC308,4.688864775,86.22881275
228,vPC309,2.145854123,40.96233845
229,vPC310,3.475695233,68.8402286
230,vPC311,3.566987185,62.05875988
231,vPC312,2.762196039,41.0200809
232,vPC315,1.334450598,23.46185037
233,vPC317,1.960949116,32.90846724
234,vPC318,3.834158992,56.31213144
235,vPC320,3.828897555,56.93798047
236,vPC321,3.692995569,56.41505222
237,vPC322,4.019044617,65.08431805
238,vPC323,6.577635222,120.6202504
239,vPC324,2.339541583,47.12981912
240,vPC327,0.949023544,19.2776462
241,vPC328,2.17452256,44.62928629
242,vPC329,1.044571597,38.32810344
243,vPC330,3.533011755,79.59435754
244,vPC331,2.333880872,54.55979135
245,vPC332,1.593816885,30.54694611
246,vPC333,1.730689023,40.58937271
247,vPC335,3.749220348,62.48806302
248,vPC336,6.634902947,116.5756715
249,vPC337,3.594930743,77.75423176
250,vPC338,1.911668972,32.63012135
251,vPC339,3.557444168,63.8255865
252,vPC340,4.30991055,104.7450581
253,vPC342,3.503723628,78.46701907
254,vPC345,4.072617679,76.51717496
255,vPC347,2.538177088,31.22487024
256,vPC349,2.986545888,40.35620923
257,vPC351,3.617291466,74.17767573
258,vPC352,2.027462453,38.96305309
259,vPC353,3.492877551,68.86373304
260,vPC354,2.671113848,44.55618305
261,vPC360,3.27188264,53.73258413
262,vPC361,1.601771343,32.54207419
263,vPC362,4.002154907,71.86657748
264,vPC364,0.691736206,12.12108662
265,vPC366,3.513625572,72.21862453
266,vPC367,0.917746237,16.18825925
267,vPC369,5.107099063,77.18416661
268,vPC370,1.218643601,30.45183211
269,vPC371,1.913534527,24.00786969
270,vPC372,2.041294975,33.47486929
271,vPC374,1.054908026,21.05689226
272,vPC375,3.577173326,63.32508399
273,vPC376,0.876188105,22.92025634
274,vPC380,3.860645383,56.25368735
275,vPC381,1.747208771,25.49602209
276,vPC382,3.522624383,74.60605308
277,vPC383,2.286557298,30.56912732
278,vPC385,1.381018313,20.98993653
279,vPC386,3.587201712,79.11092592
280,vPC387,3.425155382,69.87733142
281,vPC389,3.275776318,74.80902972
282,vPC392,4.247032788,105.1246417
283,vPC393,4.490464189,104.3475318
284,vPC395,1.356150567,25.22528851
285,vPC397,1.377470762,30.44546835
286,vPC398,3.74353683,68.58303214
287,vPC400,3.63906972,62.09594468
288,vPC401,3.85716524,57.10166751
289,vPC403,3.630984393,78.84825036
290,vPC404,1.577378877,32.58425306
291,vPC405,0.865447292,12.17539142
292,vPC408,1.735963763,34.77083014
293,vPC412,1.242132419,22.26575881
294,vPC413,1.293073405,23.60449022
295,vPC414,3.694106605,88.31561275
296,vPC417,2.134485997,46.03768264
297,vPC421,0.811501632,15.58379681
298,vPC423,0.970458584,14.50260094
299,vPC424,3.901613439,56.53838379
300,vPC425,4.432429234,81.9684021
301,vPC426,5.277301844,102.2783946
302,vPC428,3.480678175,77.45874059
303,vPC430,3.886347923,74.60287368
304,vPC431,1.524998007,21.7826157
305,vPC432,1.48915619,32.88315169
306,vPC433,2.040802951,29.34392563
307,vPC434,3.305682595,77.04593122
308,vPC435,6.368020968,106.6850616
309,vPC442,3.413385991,77.85205239
310,vPC443,2.764461321,39.18962272
311,vPC444,0.901249824,21.81054227
312,vPC446,0.993082854,23.05497997
313,vPC450,3.66629672,64.91076789
314,vPC451,2.465383015,32.31196904
315,vPC452,1.064713716,19.00996957
316,vPC453,1.241559393,32.59104117
317,vPC454,2.040757338,26.94482819
318,vPC456,3.661697832,61.32123123
319,vPC457,3.952836186,72.68882397
320,vPC458,1.198409257,26.93964585
321,vPC459,3.910105416,70.86585301
322,vPC460,1.927154366,33.43394979
323,vPC462,4.112087226,84.43233904
324,vPC465,1.118306041,24.62311157
325,vPC466,1.023101646,38.32070041
326,vPC468,4.187316135,63.58802175
327,vPC469,4.162034669,63.26999633
328,vPC471,2.555539148,30.28323139
329,vPC472,3.488152458,75.43427156
330,vPC473,1.945741141,22.38291887
331,vPC474,3.912351739,61.37232104
332,vPC475,1.779866175,26.92610234
333,vPC477,3.745056034,73.73160743
334,vPC479,2.084368386,33.35448227
335,vPC481,2.190961616,28.4521986
336,vPC482,1.167104464,29.01977978
337,vPC483,4.225727817,63.45269912
338,vPC485,3.940884957,60.25653929
339,vPC486,4.06904453,58.80406951
340,vPC488,1.450470442,21.81078034
341,vPC489,0.874052082,51.40708124
342,vPC490,4.223961417,63.85330589
343,vPC491,2.316633688,49.69016963
344,vPC492,3.898995219,67.64574452
345,vPC493,1.913542396,28.94221903
346,vPC497,3.871907024,69.88759762
347,vPC498,2.080979484,21.31561869
348,vPC499,1.668443041,33.55142501
349,vPC500,2.316299559,51.88111319
350,vPC501,1.57230744,30.54982436
351,vPC502,1.02340606,17.67484815
352,vPC505,1.068601116,38.25427192
353,vPC506,3.523803834,76.53121504
354,vPC507,3.482934196,74.75348642
355,vPC508,3.108635011,49.42518251
356,vPC511,1.708618076,40.54108324
357,vPC515,3.549794586,60.39736249
358,vPC516,4.00229053,56.92712555
359,vPC517,3.216267496,77.92335599
360,vPC518,1.720347899,33.62906582
361,vPC520,3.658283767,56.45238285
362,vPC521,1.646514735,23.50216672
363,vPC522,3.690185496,55.45881392
364,vPC523,2.302214606,39.1177914
365,vPC526,1.461681348,32.91982714
