ID,GroupID,SI,Amplitude,Center,LW..Hz.
12013,4358,21,554350.33,"1.639,  38.02","20.0,   20.0"
12031,3741,21,453250.13,"3.932,  67.24","20.0,   20.0"
12036,3743,21,342209.59,"3.798,  78.01","20.0,   20.0"
12050,1287,21,281834.34,"1.916,  27.72","20.0,   20.0"
12064,3758,21,334322.74,"2.995,  40.54","20.0,   20.0"
12080,3762,21,422154.43,"1.905,  24.42","20.0,   20.0"
12087,97,21,314114.38,"3.454,  70.94","13.2,   20.0"
12118,900,21,314651.76,"3.923,  70.99","20.0,   20.0"
12156,2469,21,430177.01,"4.240, 101.88","20.0,   20.0"
12162,3793,21,463007.26,"1.263,  38.21","20.0,   20.0"
12179,3800,21,447140.76,"6.694, 116.06","20.0,   20.0"
12191,4358,21,484356.95,"1.562,  37.81","20.0,   20.0"
12192,3808,21,366764.46,"4.546,  69.25","20.0,   20.0"
12201,3812,21,394525.52,"3.913,  76.78","20.0,   20.0"
12217,2824,21,369600.11,"1.177,  16.94","20.0,   20.0"
12224,1287,21,447410.48,"1.961,  27.58","20.0,   20.0"
12254,3829,21,297194.8,"4.070,  70.68","20.0,   20.0"
12297,4099,21,434964.94,"1.128,  19.68","20.0,   20.0"
12301,3847,21,373966.38,"3.115,  49.86","20.0,   20.0"
12364,1287,21,288624.34,"1.903,  27.76","20.0,   20.0"
12431,1574,21,202458.68,"1.824,  18.68","5.0,   20.0"
12441,4099,21,334055.73,"0.880,  18.98","20.0,   20.0"
12447,1194,21,408083.75,"1.674,  24.02","20.0,   20.0"
12452,441,21,410967.78,"1.162,  31.63","20.0,   20.0"
12517,3912,21,428176.44,"6.959, 117.01","20.0,   20.0"
12535,1311,21,364993.51,"2.999,  62.56","20.0,   20.0"
12546,4099,21,343962.2,"1.166,  21.55","20.0,   20.0"
12548,1311,21,351027.77,"2.961,  62.56","20.0,   20.0"
12549,1451,21,360969.81,"1.525,  33.20","20.0,   20.0"
12579,1929,21,327674.52,"0.979,  6.888","20.0,   20.0"
12584,1451,21,462887.49,"1.487,  31.18","20.0,   20.0"
12646,441,21,393198.22,"1.244,  27.48","20.0,   20.0"
12654,441,21,417468.1,"1.373,  26.97","20.0,   20.0"
12754,441,21,207617.67,"1.337,  25.86","20.0,   20.0"
12841,4099,21,339941.03,"0.894,  20.33","20.0,   20.0"
12852,2474,21,192792.81,"3.980,  83.64","6.8,   20.0"
12900,900,21,391061.84,"3.292,  74.49","20.0,   20.0"
12904,650,21,368029.18,"3.547,  76.49","20.0,   20.0"
12912,1451,21,424134.54,"1.381,  32.71","20.0,   20.0"
12941,4048,21,370654.61,"4.437,  63.96","20.0,   20.0"
12970,2824,21,283418.53,"1.111,  15.80","20.0,   20.0"
13076,1144,21,224572.93,"2.019,  38.10","20.0,   20.0"
13084,4096,21,398719.01,"6.647, 104.17","20.0,   20.0"
13091,900,21,431980.81,"3.336,  74.44","20.0,   20.0"
13093,4099,21,315750.47,"1.334,  20.85","20.0,   20.0"
13113,2478,21,373699.62,"2.413,  35.30","20.0,   20.0"
13135,650,21,482953.58,"3.400,  76.75","20.0,   20.0"
13144,2824,21,360140.19,"1.158,  16.13","20.0,   20.0"
13157,900,21,156722.65,"3.783,  72.09","20.0,    5.0"
13167,4122,21,319695.44,"1.032,  27.96","20.0,   20.0"
13174,2613,21,416204.31,"3.679,  79.24","20.0,   20.0"
13185,4358,21,446700.98,"1.700,  38.44","20.0,   20.0"
13191,1030,21,340377.72,"4.224, 104.92","20.0,   20.0"
13228,821,21,358940.78,"2.564,  44.64","20.0,   20.0"
13232,4140,21,398366.61,"4.207,  63.79","20.0,   20.0"
13247,900,21,214263.38,"3.848,  71.12","7.2,   20.0"
13262,441,21,428581.14,"1.272,  22.97","20.0,   20.0"
13269,1712,21,456719.3,"1.879,  41.61","20.0,   20.0"
13339,441,21,297073.36,"1.288,  23.55","12.0,   20.0"
